"CubeId";"devkum"
"PublishingDate";"2022-11-01 14:30"

"Date";"D0";"D1";"Value"
"1917-01";"M0";"CNY100";
"1917-01";"M0";"HKD100";
"1917-01";"M0";"KRW100";
"1917-01";"M0";"MYR100";
"1917-01";"M0";"NZD1";
"1917-01";"M0";"SGD1";
"1917-01";"M0";"THB100";
"1917-02";"M0";"EUR1";
"1917-02";"M0";"GBP1";"23.84"
"1917-02";"M0";"DKK100";
"1917-02";"M0";"NOK100";
"1917-02";"M0";"CZK100";
"1917-02";"M0";"HUF100";
"1917-02";"M0";"PLN100";
"1917-02";"M0";"RUB1";
"1917-02";"M0";"SEK100";
"1917-02";"M0";"TRY100";
"1917-02";"M0";"USD1";"5.002"
"1917-02";"M0";"CAD1";
"1917-02";"M0";"ARS1";
"1917-02";"M0";"BRL100";
"1917-02";"M0";"MXN100";
"1917-02";"M0";"ZAR1";
"1917-02";"M0";"JPY100";
"1917-02";"M0";"AUD1";
"1917-02";"M0";"CNY100";
"1917-02";"M0";"HKD100";
"1917-02";"M0";"KRW100";
"1917-02";"M0";"MYR100";
"1917-02";"M0";"NZD1";
"1917-02";"M0";"SGD1";
"1917-02";"M0";"THB100";
"1917-03";"M0";"EUR1";
"1917-03";"M0";"GBP1";"23.98"
"1917-03";"M0";"DKK100";
"1917-03";"M0";"NOK100";
"1917-03";"M0";"CZK100";
"1917-03";"M0";"HUF100";
"1917-03";"M0";"PLN100";
"1917-03";"M0";"RUB1";
"1917-03";"M0";"SEK100";
"1917-03";"M0";"TRY100";
"1917-03";"M0";"USD1";"5.03"
"1917-03";"M0";"CAD1";
"1917-03";"M0";"ARS1";
"1917-03";"M0";"BRL100";
"1917-03";"M0";"MXN100";
"1917-03";"M0";"ZAR1";
"1917-03";"M0";"JPY100";
"1917-03";"M0";"AUD1";
"1917-03";"M0";"CNY100";
"1917-03";"M0";"HKD100";
"1917-03";"M0";"KRW100";
"1917-03";"M0";"MYR100";
"1917-03";"M0";"NZD1";
"1917-03";"M0";"SGD1";
"1917-03";"M0";"THB100";
"1917-04";"M0";"EUR1";
"1917-04";"M0";"GBP1";"24.327"
"1917-04";"M0";"DKK100";
"1917-04";"M0";"NOK100";
"1917-04";"M0";"CZK100";
"1917-04";"M0";"HUF100";
"1917-04";"M0";"PLN100";
"1917-04";"M0";"RUB1";
"1917-04";"M0";"SEK100";
"1917-04";"M0";"TRY100";
"1917-04";"M0";"USD1";"5.102"
"1917-04";"M0";"CAD1";
"1917-04";"M0";"ARS1";
"1917-04";"M0";"BRL100";
"1917-04";"M0";"MXN100";
"1917-04";"M0";"ZAR1";
"1917-04";"M0";"JPY100";
"1917-04";"M0";"AUD1";
"1917-04";"M0";"CNY100";
"1917-04";"M0";"HKD100";
"1917-04";"M0";"KRW100";
"1917-04";"M0";"MYR100";
"1917-04";"M0";"NZD1";
"1917-04";"M0";"SGD1";
"1917-04";"M0";"THB100";
"1917-05";"M0";"EUR1";
"1917-05";"M0";"GBP1";"24.297"
"1917-05";"M0";"DKK100";
"1917-05";"M0";"NOK100";
"1917-05";"M0";"CZK100";
"1917-05";"M0";"HUF100";
"1917-05";"M0";"PLN100";
"1917-05";"M0";"RUB1";
"1917-05";"M0";"SEK100";
"1917-05";"M0";"TRY100";
"1917-05";"M0";"USD1";"5.1"
"1917-05";"M0";"CAD1";
"1917-05";"M0";"ARS1";
"1917-05";"M0";"BRL100";
"1917-05";"M0";"MXN100";
"1917-05";"M0";"ZAR1";
