"CubeId";"plkopr"
"PublishingDate";"2022-10-21 09:00"

"Date";"D0";"Value"
"1948-09";"LD2010100";"21.66135566"
"1948-09";"VVP";"2.41126507"
"1948-10";"LD2010100";"21.67474058"
"1948-10";"VVP";"0.21913236"
"1948-11";"LD2010100";"21.96782068"
"1948-11";"VVP";"1.43755122"
"1948-12";"LD2010100";"21.80799486"
"1948-12";"VVP";"0.56418908"
"1949-01";"LD2010100";"21.7279828"
"1949-01";"VVP";"0.0611833"
"1949-02";"LD2010100";"21.6480699"
"1949-02";"VVP";"-0.24579678"
"1949-03";"LD2010100";"21.55487122"
"1949-03";"VVP";"-0.43051726"
"1949-04";"LD2010100";"21.47485916"
"1949-04";"VVP";"-0.80012091"
"1949-05";"LD2010100";"21.50162899"
"1949-05";"VVP";"-0.73738076"
"1949-06";"LD2010100";"21.55487122"
"1949-06";"VVP";"-0.73602601"
"1949-07";"LD2010100";"21.48824408"
"1949-07";"VVP";"-0.7382913"
"1949-08";"LD2010100";"21.50162899"
"1949-08";"VVP";"-0.55394295"
"1949-09";"LD2010100";"21.55487122"
